heure;habitat_collectif;restauration;commerces;bureaux
2464;0;5.52789264705882;1.07399057142857;3.65156794285714
2465;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2466;467.78256;5.52789264705882;2.68497642857143;0
2467;267.30432;16.5836779411765;2.14798114285714;0
2468;133.65216;16.5836779411765;1.07399057142857;0
2469;0;44.2231411764706;0;0
2470;0;38.6952485294118;0;0
2471;0;22.1115705882353;0;0
2472;0;0;0;0
2473;0;0;0;0
2474;0;0;0;0
2475;0;0;0;0
2476;0;0;0;0
2477;0;0;0;0
2478;133.65216;0;0;1.82578397142857
2479;467.78256;0;0;1.82578397142857
2480;133.65216;0;0.536995285714286;5.47735191428571
2481;0;5.52789264705882;1.07399057142857;9.12891985714286
2482;0;5.52789264705882;1.07399057142857;7.30313588571428
2483;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2484;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2485;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2486;0;27.6394632352941;1.61098585714286;7.30313588571428
2487;0;5.52789264705882;1.07399057142857;5.47735191428571
2488;0;5.52789264705882;1.07399057142857;3.65156794285714
2489;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2490;467.78256;5.52789264705882;2.68497642857143;0
2491;267.30432;16.5836779411765;2.14798114285714;0
2492;133.65216;16.5836779411765;1.07399057142857;0
2493;0;44.2231411764706;0;0
2494;0;38.6952485294118;0;0
2495;0;22.1115705882353;0;0
2496;0;0;0;0
2497;0;0;0;0
2498;0;0;0;0
2499;0;0;0;0
2500;0;0;0;0
2501;0;0;0;0
2502;133.65216;0;0;1.82578397142857
2503;467.78256;0;0;1.82578397142857
2504;133.65216;0;0.536995285714286;5.47735191428571
2505;0;5.52789264705882;1.07399057142857;9.12891985714286
2506;0;5.52789264705882;1.07399057142857;7.30313588571428
2507;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2508;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2509;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2510;0;27.6394632352941;1.61098585714286;7.30313588571428
2511;0;5.52789264705882;1.07399057142857;5.47735191428571
2512;0;5.52789264705882;1.07399057142857;3.65156794285714
2513;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2514;467.78256;5.52789264705882;2.68497642857143;0
